정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,시도,시군구,읍면동
CAB285000099,삼풍아파트,36.91246987,127.1309113,2025-10-31,99,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000100,매주4리(삼천리앞),36.91104545,127.1253919,2025-10-31,100,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000101,율금교,36.9072541,127.1181568,2025-10-31,101,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000102,율금교,36.9073104,127.1179859,2025-10-31,102,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000103,율금리,36.905918,127.115314,2025-10-31,103,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000104,율금리,36.905823,127.115394,2025-10-31,104,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000105,대명아파트,36.89635579,127.102955,2025-10-31,105,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000106,석곡리,36.89234131,127.0959874,2025-10-31,106,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000107,석곡리(돌실),36.88882664,127.0909807,2025-10-31,107,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,직산읍
CAB285000108,석곡리(돌실),36.88887799,127.0907389,2025-10-31,108,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,직산읍
CAB285000142,성월1리,36.9208455,127.1366208,2025-10-31,2359,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000143,성월1리,36.9207647,127.1367054,2025-10-31,2338,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000144,학정리,36.9334592,127.1448536,2025-10-31,2336,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000145,학정리,36.9333874,127.144955,2025-10-31,2337,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285000151,불당대원아파트,36.80478071,127.1167191,2025-10-31,1511,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,불당1동
CAB285000169,남관2리,36.7558392,127.1177132,2025-10-31,169,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285000170,남관리(농협),36.7535792,127.1273185,2025-10-31,170,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285000171,남관리,36.75519,127.127486,2025-10-31,171,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285000172,동양철관,36.7590163,127.1279774,2025-10-31,172,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285000173,통세골,36.768362,127.132528,2025-10-31,173,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,신방동
CAB285000174,통세골,36.7681009,127.1324855,2025-10-31,174,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,신방동
CAB285000175,가송3리,36.72990463,127.1441441,2025-10-31,175,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285000176,가송2리,36.73481962,127.1435941,2025-10-31,176,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285000177,가송리,36.7351712,127.1435414,2025-10-31,177,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285000178,두남리,36.74163127,127.1391224,2025-10-31,178,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285000179,두남리,36.74551628,127.1351974,2025-10-31,179,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285001475,성환E-편한세상,36.90177963,127.1313224,2025-10-31,1475,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
